Beruf;Kürzel
Industrie-Isolierer/Industrie-Isoliererin;BIS
Industriekaufmann(frau);WIK
Industriekeramiker(in) (aB);SIK
Industriekeramiker(in) Anlagentechnik;SKA
Industriekeramiker(in) Dekorationstechnik;SKK
Industriekeramiker(in) Modelltechnik;SKM
Industriekeramiker(in) Verfahrenstechnik;SKV
Industriemechaniker(in);MIN
Industriemechaniker(in) - Betriebstechnik - (aB);MI2
Industriemechaniker(in) - Geräte- und Feinwerktechnik - (aB);MI4
Industriemechaniker(in) - Maschinen- und Systemtechnik- (aB);MI3
Industriemechaniker(in) - Produktionstechnik - (aB);MI1
Informatikkaufmann/Informatikkauffrau;WIN
Informationselektroniker(in);EIN
Informationselektroniker(in) - Bürosystemtechnik - (aB);EIB
Investmentfondskaufmann(frau);WIV
Isolierfacharbeiter/Isolierfacharbeiterin;BIF
IT-System-Elektroniker/Elektronikerin;ESE
IT-Systemkaufmann/-kauffrau;WSY
Justizfachangestellte(r) (aB);WJA
Kabeljungwerker(in) (aB);MKW
Kachelofen- und Luftheizungsbauer(in) (aB);BKH
Kälteanlagenbauer(in) (aB);MKT
Kanalbauer(in);BKB
Karosserie- und Fahrzeugbauer(in) - Fahrzeugbau- (aB);RK2
Karosserie- und Fahrzeugbauer(in) - Karosserie - (aB);RK1
Karosserie- und Fahrzeugbaumech.(in) -Fahrzeugbau- (aB);RM3
Karosserie- und Fahrzeugbaumech.(in) -Instandhalt.- (aB);RM1
Karosserie- und Fahrzeugbaumech.(in) -Kaross.Fahrz.BauT.-;RM5
Karosserie- und Fahrzeugbaumech.(in) -Kaross.Instandhalt.-;RM4
Karosserie- und Fahrzeugbaumech.(in) -Karosseriebau- (aB);RM2
Kartograph(in) (aB);DKA
Kaufmann(frau) für Bürokommunikation(aB);WKB
Kaufmann(frau) für Büromanagement;WKM
Kaufmann(frau) für Dialogmarketing;WKD
Kaufmann(frau) für Kurier-,Express- und Postdienstleistungen;WKP
Kaufmann(frau) für Spedition und Logistikdienstleistung;WSL
Kaufmann(frau) für Tourismus und Freizeit;WTF
Kaufmann(frau) für Verkehrsservice;WKS
Kaufmann(frau) für Versicherungen und Finanzen;WVF
Kaufmann(frau) i.d.Grundstücks-u.Wohnungswirtschaft (aB);WKW
Kaufmann(frau) im Einzelhandel;WKE
Kaufmann(frau) im Eisenbahn- und Straßenverkehr;WKV
Kaufmann(frau) im Groß- und Außenhandel;WKA
Kaufmann/Kauffrau für audiovisuelle Medien;WMK
Kaufmann/Kauffrau für Marketingkommunikation;WMA
Kaufmann/Kauffrau im Gesundheitswesen;WGW
Kaufmannsgehilfe(in) im Hotel- und Gaststättengewerbe (aB);WKH
Keramiker(in);SKE
Kerammodelleinrichter(in) (aB);SKR
Kerammodelleur(in) (aB);SKD
Klavier- und Cembalobauer(in);SKL
Klempner(in);MKL
Koch(Köchin);NKO
Kommunikationselektroniker(in) - Funktechnik - (aB);EK3
Kommunikationselektroniker(in) - Informationstechnik - (aB);EK1
Kommunikationselektroniker(in)-Telekommunikationstech.- (aB);EK2
Konditor(in);NKD
Konstruktionsmechaniker(in);MKM
Konstruktionsmechaniker(in) - Ausrüstungstechnik - (aB);MK4
Konstruktionsmechaniker(in) - Feinblechbautechnik - (aB);MK5
Konstruktionsmechaniker(in) - Schweißtechnik - (aB);MK6
Konstruktionsmechaniker(in) -Metall- u.Schiffbautechnik-(aB);MK3
Korb- und Rahmenflechter(in);HKB
Korbmacher(in) (aB);HKO
Kosmetiker/Kosmetikerin;KOS
Kraftfahrzeugbearbeiter(in);RBE
Kraftfahrzeugelektriker(in) (aB);RKE
Kraftfahrzeugmechaniker(in) (aB);RKM
Kraftfahrzeugmechatroniker(in) - Fahrzeugkommunik.technik -;RMF
Kraftfahrzeugmechatroniker(in) - Motorradtechnik -;RMM
Kraftfahrzeugmechatroniker(in) - Nutzfahrzeugtechnik -;RMN
Kraftfahrzeugmechatroniker(in) - Personenkraftwagentechnik -;RMP
Kraftfahrzeugmechatroniker(in) (aB);RMA
Kraftfahrzeugmechatroniker(in) -Karosserietechnik-;RMK
Kraftfahrzeugmechatroniker(in) -System u. Hochvolttechnik-;RMS
Kraftfahrzeugservicemechaniker(in);RSE
Kürschner(in);XKU
Lackierer(in)  (Holz und Metall) (aB);FLA
Lacklaborant(in);CLL
Lagerfachhelfer/in;WLH
Land- und Baumaschinenmechatroniker (in);RLB
Landwirt(in);ALA
Landwirtschaftl.-technische(r) Laborant(in) (aB);ALL
Leichtflugzeugbauer(in);HLB
Leuchtröhrenglasbläser(in);SLG
Maler(in) und Lackierer(in) - Bauten- u. Korrosionsschutz -;FMB
Maler(in) und Lackierer(in) - Gestaltung u. Instandhaltung -;FMG
Maler(in) und Lackierer(in) - Kirchenmalerei u. Denkmalpfl.;FMK
Maler(in) und Lackierer(in) - Schwerpunkt Maler- (aB);FML
Maler(in) und Lackierer(in) -Schwerp Fahrzeuglack.- (aB);FMF
Maschinen- und Anlagenführer(in) - Schwerp. Druckweitervera-;DMA
Maschinen- und Anlagenführer(in) - Schwerp. Textiltechnik -;XMF
Maschinen- und Anlagenführer(in) - Schwerp.Lebensmitteltech-;NMA
Maschinen- und Anlagenführer(in) - Schwerp.Textilveredelung-;XMV
Maschinen- und Anlagenführer(in) - Schwerpunkt Metall -;MAF
Maschinenbaumechaniker(in) (aB);MMM
Maschinenzusammensetzer(in) (aB);MMZ
Maskenbildner(in);KMA
Maßschneider(in);XMA
Mathematisch-technische(r) Softwareentwickler(in);ESM
Maurer(in);BMA
Mechaniker(in) für Karosserieinstandhaltungstechnik (aB);RMI
Mechaniker(in) für Land- und Baumaschinentechnik (aB);RLM
Mechaniker(in) für Reifen- und Vulkanisationstechnik;RRV
Mechatroniker(in);EMA
Mechatroniker/-in für Kältetechnik;MKA
Mediengestalter(in) Bild und Ton;DBT
Mediengestalter(in) Digital- und Print - Beratung u. Plan. -;DMP
Mediengestalter(in) Digital- und Print - Konz.u. Visual. -;DMK
Mediengestalter(in) Digital- und Print - Mediendesign - (aB);DMD
Mediengestalter(in) Digital- und Print - Medientechnik -(aB);DMT
Mediengestalter(in) Digital- und Print -Gestalt.u. Technik -;DMG
Mediengestalter(in) Digital- und Print- Medienberatung -(aB);DMB
Mediengestalter(in) Digital- und Print -Medienoperating-(aB);DMO
Mediengestalter(in) Flexografie;DFL
Mediengestalter(in) für Digital- und Printmedien (aB);DME
Medienkaufmann(frau) Digital und Print;WDP
Medientechnologe/-in Druck;DDM
Medientechnologe/-in Druckverarbeitung;DDV
Medientechnologe/-in Siebdruck;DSM
Medizinische(r) Fachangestellte(r);GMF
Metallbauer(in) - Anlagen und Fördertechnik - (aB);MM3
Metallbauer(in) - Konstruktionstechnik -;MM1
Metallbauer(in) - Landtechnik - (aB);MM4
Metallbauer(in) - Metallgestaltung -;MM2
Metallbauer(in) - Nutzfahrzeugbau -;MM5
Metallbearbeiter(in);MML
Metallbildner(in) - Goldschlagtechnik -;MBO
Metallbildner(in) - Gürtler- und Metalldrücktechnik -;MBD
Metallbildner(in) - Ziseliertechnik -;MBZ
Metallblasinstrumentenmacher(in);SMB
Metallfachpraktiker(in) (3 1/2- jährig);MMQ
Metallfachpraktiker(in) (3- jährig);MMP
Metallfeinbearbeiter(in);MMF
Metallschleifer(in) (aB);MMS
Mikrotechnologe(in);EMI
Milchtechnologe / Milchtechnologin;AMT
Milchwirtschaftliche(r) Laborant(in);AML
Modellbauer(in) - Anschauungsmodellbau - (aB);HMA
Modellbauer(in) - Produktionsmodellbau - (aB);HMB
Modellbaumechaniker(in)  - Karosseriemodellbau - (aB);HMK
Modellbaumechaniker(in) - Gießereimodellbau - (aB);HMG
Modenäher/Modenäherin;XMN
Modeschneider/Modeschneiderin;XMS
Modist(in);XMO
Molkereifachmann(frau) (aB);AMO
Müller(in) (aB);NMU
Müller(in) (Verfahrenstechn. in der Mühlen- u.Futtermitt.);NMF
Musikalienhändler(in) (aB);WMU
Musikfachhändler(in);WMF
Näherin im Damen- und Herrenschneider-Handwerk;XND
